sentence,CCTs
I Am I here today because I genuinely want to understand and know how the universe was created.,Aspirational
"I am someone who believes in reincarnation as well so sometimes I ask myself,† Is this the only life I have ever lived?. I am someone who always questions everything and pondering on things your typical person wouldn't and I think itís because I am maybe an old soul. I donít want to get too spiritual, however there are times were I look beyond science and the facts because everything can't all be science in my opinion. †",Spiritual
a better future for my family & myself- a better job that pays better than a regular job†- be able to afford certain things such as a house and trips,Aspirational
Im here because I want to make my parents proud†- a better future for my family & myself,Filial Piety
I look forward to teaching history at the high school level for the first few years out of school while a pursue a law degree so I can eventually go into politics at some level.,Attainment
I am here to finish my GE prerequisites so I can finally graduate and start paying of my loans. I look forward to teaching history at the high school level for the first few years out of school while a pursue a law degree so I can eventually go into politics at some level.,Navigational
Today I am here to learn. I am also here to continue my education and get a degree eventually.,"Attainment, Aspirational"
"Growing up, my parents always told me that college was not a choice but a requirement. Neither of my parents ever got to 7th grade so they have always pushed my siblings and I when it came to school.",Filial Piety
I am not only doing this for myself but also for my parents.,Filial Piety
"As the years have gone by and I continued to stay in school, I realized that I am here to develop my skills as an artist, learn how to observe and think about the world around me, and enhance my understanding of various subjects.",Aspirational
having a bachelors degree proves that I can be consistent and finish what I have started,Perserverance
"Originally when I began attending SF state, it was because I was encouraged to go to college by my family and teachers.",Familial
Taking this class will help me finish my BA which will get me to a masters program and eventually phd which will hopefully be in double major of psychology and child development and minors in Jewish studies and Cwl.,"Attainment, Navigational"
I am here because itís a general Ed class.,Navigational
I am here because I want to expand my wealth of knowledge,Aspirational
Iím taking astronomy because I needed a lab for my undergraduate requirements,Navigational
I am here in my Astronomy Lab class to further my knowledge of Astronomy.,Aspirational
I am here because I want to be a math teacher and bring love and joy to the center of math for students.,Attainment
Iím here in astronomy because I love the stars and space and I want to expand my view and attention to more than just earthly things because the universe is more than just earth.†,Aspirational
I am here because I want to be a math teacher and bring love and joy to the center of math for students. I want the students i teach to leave the classroom feeling loved and having love for math the same way i do. I also want to be an anchor or a safe place for the students that I teach because I believe itís important to have that in high school or in life in general.,Spiritual
I am here so that I can attain my bachelors in cinema and accomplish my mission of becoming a screenwriter/director.,Attainment
"I am here so that I can attain my bachelors in cinema and accomplish my mission of becoming a screenwriter/director. I intend to reach my goal no matter what, but first I need to finish all of my prerequisites in order to get to my cinema classes.",Navigational
"I screwed up a bit during my first year here, but I intend to make up for it with hard work and getting results.†",Perserverance
