sentence,CCTs,essay_id
I took a physics course in high school and it wasnít as hard as I thought,Class 0,F19.PHYS112.11.03
"So far, Iím enjoying physics",Class 0,F19.PHYS112.11.03
I need to complete one year of physics in order to meet the requirements for medical school,Class 0,F19.PHYS112.11.03
I am here because I want to get a bachelor's degree on my major of Kinesiology.,Attainment,F19.PHYS112.04.01
"When I went to physical therapy, my therapist and I got really close during my process of rehabilitation. After healing my elbow completely, my physical therapist taught me important tips on taking care of my body overall as well as continuing my dreams of playing basketball professionally. My overall goal as to why I am in college is to become a physical therapist.","Aspirational, Perserverance",F19.PHYS112.04.01
This interested me in a way where I want to help people get back to full rehabilitation physically.,Spiritual,F19.PHYS112.04.01
I am here because I want to get a bachelor's degree on my major of Kinesiology,Class 0,F19.PHYS112.04.01
It all started ever since I got injured playing basketball,Class 0,F19.PHYS112.04.01
I love basketball do not get me wrong,Class 0,F19.PHYS112.04.01
I have always dreamed of playing basketball professionally but reality hit in where I am still working on my game while needing to find another career as a backup plan,Class 0,F19.PHYS112.04.01
"When I got injured playing basketball, I had a chipped bone on my humerus which did not allow my arm to bend and function as smoothly",Class 0,F19.PHYS112.04.01
"This would cause a sharp pain in my elbow whenever I would do push-ups, bench press, or simply bending my arm would result in a cracking like noise",Class 0,F19.PHYS112.04.01
"When I went to physical therapy, my therapist and I got really close during my process of rehabilitation",Class 0,F19.PHYS112.04.01
"After healing my elbow completely, my physical therapist taught me important tips on taking care of my body overall as well as continuing my dreams of playing basketball professionally",Class 0,F19.PHYS112.04.01
My overall goal as to why I am in college is to become a physical therapist,Class 0,F19.PHYS112.04.01
This interested me in a way where I want to help people get back to full rehabilitation physically,Class 0,F19.PHYS112.04.01
"Also, the functions of the body interested me on how I should take care of it to the best of its ability",Class 0,F19.PHYS112.04.01
"for career, maybe missed (say medical school but seems navigational) Ex: requirement for med school",Class 0,
Key: already on the cell,Class 0,
