sentence,cct_labels
i knew i wanted to become a veterinarian thus beginning my upper level education is a huge achievement to me and im happy it makes my parents proud as well.,"Familial, Filial Piety, First Gen"
i want to be able to follow in her steps and to make my family and her proud.,"Familial, Filial Piety"
"in conclusion, that is why im here, to work with sonography and to make my family and even myself proud.","Familial, Filial Piety"
"i wouldnt be here if it wasnt for my parents constant support financially, physically, and mentally.","Familial, Filial Piety"
"that question does back to the 90s, my parents came to this country to give their future children a better life than the one they had in mexico.","Familial, Filial Piety"
"i am taking classes at san francisco state university because my parents both decided to immigrate from their home countries, and happened to meet and fall in love in this city.",Familial
i owe it in large part to my mom.,"Familial, Filial Piety"
"my number one fear and inspiration (could they be the same thing) is not making her (and my dad) proud.i've also grown to see her, and my other immediate family simply ""exist"" to continue existing, and my dad has always instilled a ""follow your dreams""optimism.","Familial, Filial Piety"
it was hard but my parents always prioritized school first for my sister and me.,Familial
"in general, i would say that i am here because my parents both decided to emigrate to san francisco; my father came from lima, peru; my mother came from manila, philippines.","Familial, Filial Piety, First Gen"
"looking back, i would say this pressure to succeed for the family is a big part of why i studied stem in college instead of the regular hobbies i had growing up: literature and music.","Familial, Filial Piety, First Gen"
"i am here because of my parents, my parents fled their country in hopes to start a family where they can provide a better future for my brother and i. growing up in vietnam was a struggle for them, dropping out of high school so that they could start working instead to help provide for their families.","Familial, Filial Piety"
"my parents both didnt want their kids to live through the same struggles that theyve went through so they packed their bags and started a new life in america, even if it meant for them to start with nothing up.","Familial, Filial Piety"
i am here to make my familys sacrifices worth it.,"Familial, Filial Piety"
"i am an international student from china, and my parents send me here because they want me to have better education resources.",Familial
i am here because i value my education and respect my family for encouraging and providing for me since day one.,"Familial, Filial Piety"
i am here because i want to prove to myself that i am more than capable of living the life i've always dreamed of for me and my family.,"Familial, Filial Piety"
most importantly i am here because i want to someday provide my family.,"Familial, Filial Piety"
i chose to go to college to not only fulfill my dreams but my parents dream as well.,"Familial, Filial Piety"
"coming from the middle east and asia, my parents did not have access to the best education systems.","Familial, Filial Piety"
all he did was fly for a couple years and moved to the us with me and my mom.,"Familial, Filial Piety"
my parents have supported me a lot so they also factor into why i am here.,Familial
"and i wouldnt be here without the support of friends and family so in answering the question, why am i here. i have to credit them with some consideration in my answer as well.",Familial
"i think this is kind of a hard question to answer, but if i were to take this the lesscorny and clich route id say that im here because of my family, and im thankful that theyve sheltered me and provided for me to be where i am today.if i were to actually think of why im here today, im here to coexist with everyone else in the universe and hopefully do more good in the world and make an impact on others.",Familial
i went to a private elementary school and high school due to my mom being a civil engineer and being able to provide for my brothers and i. i went to community college after high school because i wanted to help save my mom some money in the long run.,"Familial, Filial Piety"
i have goals that benefit not just myself but also my family as well.,"Familial, Filial Piety"
"every day, i am encouraged by my family and friends to continue on and remind myself of that i am very close to the finishing line.","Familial, Filial Piety"
having a degree will have more opportunity such as better job offers in order to support the family needs.,"Familial, Filial Piety"
my dad also majored in computer science and has often mentioned that he fell in love with physics in the process of learning it along the way while studying computer science.,Familial
"the majority of my family has taken an interest in coding and programming, so i ended up following in their footsteps and decided to major in computer science.",Familial
i wasn't sure what i wanted to do as i was heading into college but my decision to major in computer science wasn't completely influenced by my family.,Familial
"when i was young, i was really into the car because my parents worked for ford automotive, and my father especially loves cars.",Familial
"with the right push from friends, family and others, i have successfully made it this far into my studies in order to pursue my dream and make something of myself within my community. i am here on behalf of those cheering me on to accomplish the completion of higher education; an opportunity some are not given.","Familial, Filial Piety"
thiis is something that is shitty because i do not want to study cs. it is something my parents want me to study and i and doing so because they are paying for my classes.,"Familial, Filial Piety"
i am currently here at sfsu majoring in mechanical engineering because my parents have been providing for me my whole life and i just want to be able to grow up and find a good paying job so i can finally repay my debt to my parents.,"Familial, Filial Piety"
basically the only reason i am still pursuing a higher education is because my parents.,"Familial, Filial Piety"
"in conclusion, i am here because i am doing it for not only my parents but also for me.","Familial, Filial Piety"
"i am here because of social norms, because of the need to, because of family.","Familial, Filial Piety"
my support system is my parents.,"Community, Familial, Filial Piety, Spiritual"
i also wish to give back to my parents who worked and even passed up buying a house so that my brother and i can go to college without much debt.,"Familial, Filial Piety"
my parents want me to have a future that is secure for me as do i. they gave me an opportunity to further my education by letting me come to college and supporting me through the journey.,"Familial, Filial Piety, First Gen"
my parents were not able to get an education from theyre country so they decided to give it to me.,"Familial, Filial Piety, First Gen"
my parents also want me to major in this field for financial reasons.,"Familial, Filial Piety"
"i chose this major so i can accomplish my goal of being able to support my parents in the future, who immigrated to america over 30 years ago, and sacrificed a lot to give me thins opportunity.","Familial, Filial Piety"
"however, life is not easy to live with, and i promise to myself that i will become successful in life and to be able to pay my gratitude to my parents who supported me since i started school or since when i was born.","Familial, Filial Piety, Social"
the reason why i am here is because my parents wants me to get a better education.,Familial
unfortunatly my parents steered me away from planes and i steered toward my interests and so this is a middle ground that both i and my family are happy with.,"Familial, Filial Piety"
i am here at sfsu because i always had family here so i have always had a connection to the city.,Familial
"many of the reasons i am here is priveledge...i have enough family support, geographical base, and school to be able to go to a four year university doing what i want to be doing.",Familial
i want to make myself proud and my family.,"Familial, Filial Piety"
"my parents are my motivators, they work so hard to give me everything they can and i want all their efforts to be worth it.","Familial, Filial Piety"
my parents always encouraged and pushed me to go further in school and that brings me to here.,Familial
"astronomy specifically was a big part of my childhood because my dad had always been obsessed with the stars, space, and science as a whole specifically when it comes to astronomy, the environment, ecosystem, etc.",Familial
but the reason why i keep going is for my family.,"Familial, Filial Piety"
"im also here for my family that have helped me in my journey of education, so the least i can do is graduate and make them proud.","Familial, Filial Piety"
"also, i chose to go to sf state because i have family that lives in the nearby area of daly city.",Familial
my parents would always tell me that id have more opportunities to get a job if id continue onto college.,Familial
"additionally, i hope that by going to college i am making my family proud. i want to set an example for my younger siblings.","Familial, Filial Piety"
"as for my mother, i want her to see that all her sacrifices did not go to waste.","Familial, Filial Piety"
another reason i am here right now is because of my parents.,Familial
"originally when i began attending sf state, it was because i was encouraged to go to college by my family and teachers.",Familial
im here to make myself proud and to make my family proud.,Familial
im the first in my family to attend college.,"Familial, First Gen"
i want to be a change in this world i want to help my parents as well as help others.,"Familial, First Gen, Spiritual"
im here because i want to do well in my classesmajor i want to be someone who can help give back to my familycommunity.,"Community, Familial, Filial Piety"
they work so hard to support me and my siblings to send us all to college.,"Familial, Filial Piety, First Gen"
"a good career means money, a good house, support for my future family.",Familial
i am here because i want to make my mom proud.,"Familial, Filial Piety"
"as a kid, i always wanted to go into an engineering field because i have family in it, but because of this reason i didnt initially pursue it.",Familial
"so, like many other students, i decided to follow my parents lead.",Familial
i had a lot in me and i obviously have my parents as mu role model since they finished college and got their degree.,Familial
i felt left out or more of left behind because i didnt know what i wanted to do or become even though my parents always had this path set for me as an engineer.,Familial
although i was surrounded around electrical and technology stuff because my dad has taught me and showed me about it so when applying for college i led to becoming an engineer major because it was what i was familiar with and something that interested me and had me going.,Familial
growing up i felt that it was expected of me by my friends and family to do well in school which wasn't an issue for me at all.,Familial
"when the news of this came to light to my family, i thought that i had disgraced them but in actuality they empathized with the hardships that i faced during school and were at least glad to have me back home.",Familial
i was raised by a hard working man who put his family over himself in every way possible.,Familial
since this was ingrained in my way of being at such a young age with my dad always working.,Familial
the reason i am going to college and fully committing is because of my family.,"Familial, Filial Piety"
my parents didnt have a college education and so they want to make sure that my siblings and i get one.,"Familial, Filial Piety"
"at first i didnt want to go to college, i just wanted to work but the fact that my mom didnt allow me to leave school made me realize how important education is to them, and how it should be for us too.","Familial, Filial Piety"
my family has valued hard work.,Familial
"i have lived in the bay area my whole life and once rent started getting more and more expensive, my dad told me that its going to be hard to get a house when i am older.","Familial, Filial Piety"
my parents taught my brothers and i the values of working hard because to succeed in the bay area it is really expensive.,"Familial, Filial Piety"
well one thing my mom has taught me is to not start something you cant finish or to finish what ive started.,Familial
"since i am the first one go to college in my family, my parents had sacrificed a lot to sent me to us to study, far away from the homeland.","Familial, Filial Piety, First Gen"
"in general, im in school because i want to make my parents proud and break the generational cycle.","Familial, Filial Piety, First Gen"
one of the main reasons why i am here is because i want to help my family.,"Familial, Filial Piety, First Gen"
i want to have the opportunity to have a stable job and be able to support my family economically.,"Familial, Filial Piety, First Gen"
"i am here before of my family; i want to make them proud showing them my accomplishments and being the best, i can.","Familial, Filial Piety"
most people wont want to take care of their parents but i believe i owe it to them to be as money motivated and goal striving as possible.,"Familial, Filial Piety"
"since i can remember my family has always been in the construction business so whenever i look at structures, i imagine how they are built.",Familial
i am here because my mom took astronomy when she was in college and she loved it.,Familial
"i like to think im here because im meant to live a life that i, myself, find meaningful, and also because my parents wanted me to (haha).","Familial, Filial Piety"
i can think of many reasons my parent want me to be here and my moms family wants me to be here.,"Familial, Filial Piety"
i would want to grow in my own career and never get lost in it and forget my roots nor family.,"Familial, Filial Piety"
my dad is also a software engineer so i guess him working in the field has had some impact in my decision to do this as well.,Familial
"and although i was always inspired by the nature of my parents field, i never seemed to like their job.",Familial
"i come from an indian immigrant family, and all of my family members have worked hard to earn their places in the world.","Familial, Filial Piety"
"most of my family members are successful, and a majority of them are working in stem related careers.","Familial, Filial Piety"
my dad works in construction and i have been lucky to be able to work at the offices of were he worked.,Familial
"when i was still in high school, the question that what major should i study was always brought up by my parents, teachers, and even my schoolmates.",Familial
the reason why i want to go into the stem field is due to mainly my parents pushing it on to me.,"Familial, Filial Piety"
"to be completely honest that's what i need for myself, my family and for my parents a good paying job that will help me repay them for everything they have helped me in and sacrifice to get me to be where i am right now, not to mention i want to giving them and myself a better life than what they lived when they were younger.","Familial, Filial Piety"
"""why do i want to go into the stem field?""when i was younger, the desire to go into the stem field was largely influenced by my parents and their dreams after immigrating here from bangladesh.","Familial, Filial Piety"
all throughout k12th grade i knew in my mind that i wanted to do stem as a way to try to accomplish one of my loving parents' dreams that they sacrificed so much for.,"Familial, Filial Piety"
"i was later diagnosed with add, and to me it didn't feel any different knowing what i had or not, i still wanted to accomplish my parents dream no matter what it took.sadly, the idea that i had any sort of learning disability began to shatter my confidence in myself and my grades, my interest, and my dream all started to get out of reach.","Familial, Filial Piety"
"my dad, two aunts, and uncle are all civil engineers and i have been to work with all of them and visited project sites, so i knew i would enjoy what i'd be doing.",Familial
especially my parents who sacrificed a lot for my siblings and i to live a better life; it makes me want to push more to see them happy and hopefully give back to them for all they have done.,"Familial, Filial Piety, First Gen"
i have very supportive parents and family that have gotten me to this point.,Familial
"however, i do know that i am here because my parents expected me to succeed and thrive in the environment that america has to offer.","Familial, Filial Piety"
"their struggles meant that as the first born of a second generation immigrant family, i was expected to succeed in academics in order to help my parents and brother survive.","Familial, Filial Piety, Spiritual"
san francisco state university has a special place in my heart and in my family.,Familial
when my dad was only 18 years old he traveled to the united states alone to attend san francisco state university in order to pursue a degree in engineering.,Familial
"my dad attended this school, all my uncles attended this school, and many of my siblings older than me have attended.",Familial
"i feel like there is a part of my familys history here at san francisco state university, and so i feel special that i am able to attend as well.",Familial
i am here because my parents wanted me to stay close since i grew up in sf and so they didn't want me going across the country to go to school.,"Familial, Filial Piety"
"i am also here because my older brother goes here so i felt like my parents wanted me to follow in his footsteps, so i just chose the closest school around me.","Familial, Filial Piety"
since i was little my dad used to say that whatever you learn at school you should always use it to improve your everyday lives.,Familial
my parents are helping me pay tuition and i don't want them paying too much.,Familial
"of course, an important reason as to why i am here is because of everything my parents have done for me from all the guidance, sacrifices, affection, time, and so on that theyve given me till now.",Familial
"im an at sfsu because i come from a family that did not have the privilege of attending college, so i am doing it also on my familys behalf.","Familial, Filial Piety"
"i also want to be able to give back to my family as much as possible, because they sacrificed so much to get me to where i am today.","Familial, Filial Piety"
"i would also very much like to provide for my family once i get a job so they're not exhausted everyday and can enjoy the rest of their life relaxing or having fun because as the oldest daughter, i also had to play the role of being a parent towards my siblings when they faced hardships.","Familial, Filial Piety, First Gen"
my parents own a small business and they always help people out when they cant afford it.,"Familial, Filial Piety, Spiritual"
im inspired by my parents and i hope to make a bigger positive impact in other strangers' lives.,"Familial, Filial Piety, Spiritual"
"i don't want to struggle like my mom did, and im hoping to re pay her back for everything that shes done for me.","Familial, Filial Piety"
but my mom raised me and my sister.,"Familial, Filial Piety, First Gen"
also i was given the opportunity to be the first one in college and prove my family wrong that even though i was raised by a single parent i still made it to college.,"Familial, Filial Piety, First Gen"
"i am her leader as well as her dad even though her father is from another background (im mexican, his salvadorian).","Familial, Filial Piety, First Gen"
i am also here for my parents who had made a lot of sacrifices to get my siblings and i where we are at right now.,"Familial, Filial Piety, First Gen"
"""why am i here?"" i am here at sfsu making my family proud as i am the first in both sides of my family to go to college.","Familial, Filial Piety, First Gen"
i am here as i am now setting an example fro my younger family members as they will now have someone to look up to.,"Familial, Filial Piety, First Gen"
"i am here as i will be graduating in just a few months and all my family members will be able to see me graduate, virtually or on stage.","Familial, Filial Piety, First Gen"
i am here to make a difference in my family's life.,"Familial, Filial Piety, First Gen"
at a very young age my parents taught me the importance of knowledge and good education.,"Familial, First Gen"
this is in order to find new and more effective medicines to help people like my mom who suffering from chronic illnesses.,"Familial, Filial Piety"
my parents immigrated to this country 30 years ago and instilled that education was the way to success.,"Familial, Filial Piety"
"on a more personal level, i believe i am here to make my parents and family proud, along with being a good example towards my younger siblings.","Familial, Filial Piety"
"as the oldest in my family and also the first to go to college, i am here to show my parents that their sacrifices are not going to waste.","Familial, Filial Piety"
"i am here because my parents migrated to the united states in order to provide a better life to their future family, which would be my siblings and i. my parents wanted to give their children the opportunity to go to college, an opportunity that is unfortunately not granted to many of my family members back in mexico.",Familial
sfsu is also a college that is relatively close to where i live so i chose to go here in order to be able to stay with my family which is important to me.,Familial
"when i am around my family and loved ones, it refocuses me and refreshes me.",Familial
"if we go on a personal level, i would also like to support my family with what i decide to do because the one sole reason my parents are here is to support me and i wanted to do the same for them to show their efforts have not gone wasted.","Familial, Filial Piety, Spiritual"
"so, i am here because i was pushed by my family to pursue a higher education, an education they never had.",Familial
if we are speaking more broadly though im here because of my family pushing me to do better and to make sure that im able to provide for myself.,Familial
"during this quarterlife crisis, my mom suggested that i look into a career as a mechanical engineer which i promptly laughed off and dismissed.",Familial
"although i had great friends at uofa (and im still friends with them today, i have since visited the school since i transferred out), i felt so far away from my parents and felt very constricted to staying in just that one area of arizona, since i didnt have a car and things offcampus werent easily accessible.",Familial
"at that point, i decided that i wanted to transfer schools back to california, where my parents were, so i could be closer to home.",Familial
i am here because of my mom's courage and i look forward to embrace her courage and bravery of coming to this country.,Familial
"hearing my moms history, and seeing that she didnt have the opportunity to go to college is what motivates me to be here where i am now.","Familial, Filial Piety, First Gen"
"as a younger girl my mom had to work, and help out in the house, making it harder to finish her education.","Familial, Filial Piety, First Gen"
"i am in this physics class because physics is required for my major, but my dad loves physics and encouraged me to take physics with calculus instead of the physics course that does not incorporate calculus.",Familial
im here because education is important in my family.,"Familial, Filial Piety"
"my parents couldnt obtain their education because they had other priorities but they made sure to work hard and guarantee that their kids will have the opportunity, the choice, to obtain their education.","Familial, Filial Piety"
another reason why i am here is for my family.,"Familial, Filial Piety"
my family has always stood behind me after so many hings have happened.,"Familial, Filial Piety"
"the campus is also very close to my house so i can live offcampus and stay closer to my family, especially now that my grandfather requires inhome support.",Familial
"in my parents perspective im here to better my education and to gain a well paid career and profession, in their eyes im here to make them proud and to be their successor of sorts......for me on the other hand im here to try to persue my dreams of working with exotic animals that i had as a child but to be completely honest now that im here working towards my degree and career path i feel lost, some days i wake up with a good mind set and ""get it done"" mind set but as the day continues with classes and school i get defeated and i'm not sure if its because i get overwhelmed with school and the material of my classes or if it is just me overthinking and overreacting over my responsibilities that my classes give me as well as just trying to live in society, handling two jobs, a relationship, bills....lots of bills, and money.","Familial, Filial Piety"
somedays i feel like my reason for being here at school specifically is blurred from me....other days i feel like the reason for me being here is based on the expectations of other people especially my parents and family and people who look up to me and who believe in me and depend on me to make something out of myself.,"Familial, Filial Piety"
"money is hard to come by for me, i dont have a job and im chewing away from my familys money, i feel guilty every time i ask from them.",Familial
i am here at san francisco state university as an undergrad student because it was always a dream for me to go to a 4 year college right after high school and because education is really important to me due to what my parents have instilled in me as a child which is that knowledge is power.,Familial
with the advantage i am at with the support of my family i intend to provide care and give medical relief to those without access to the care and resources everyone deserves.,"Familial, Filial Piety, First Gen, Spiritual"
i'm here for myself and most importantly my parents.,"Familial, Filial Piety"
my parents always enforced me to go to school to have a better future because they always remind me that they are immigrants and they did not have the same opportunities that i do in this country so i have to take advantage of that.,"Familial, Filial Piety"
"i am here because of my family; they brought me up, and went through numerous obstacles for me to have a better future.",Familial
to not struggle as much with other things like my parents because i know they also want my life to be like that.,"Familial, Filial Piety"
my parents have pushed me to go into college and so that was my goal.,"Familial, Filial Piety"
my family continually inspires me to be a better person and to give back to the community that raised me.,"Community, Familial, Filial Piety, First Gen, Spiritual"
"i am here because of my parents, i wouldn't have graduated in a 4year university if it wasn't for my parents, i originally wanted to start off in community college but now i'm glad that i got that little push to be able to say i graduated in collage 4 years straight out of high school and now able to get a career.",Familial
i am here because i am getting my degree and i know by doing this i am making myself proud and i am also making my family proud.,"Familial, Filial Piety"
i am in san francisco because i have always been close with my parents and i wouldnt know what to do if i were to go somewhere far away from home.,"Familial, Filial Piety, First Gen"
"although it does build independence, my parents are the main reason i am the way i am, and for that i am thankful.","Familial, Filial Piety, First Gen"
"moreover, i am a college student because i am the first in my family to go, and i want to have a better life than the one my parents are currently living.","Familial, Filial Piety, First Gen"
"during my time there, i started to get more involved with the many biology departments which allow me to set up mentorships with the researchers to develop a love for biology because i have an interest in learning how biology works for the creation of all things that are living on the planet.another reason why i am here is that i would the first in my family to be able to go to college and pursue a degree in biology.","Familial, First Gen"
i have two sisters and i love my family; my parents are the main reason im in college because i want to support them in the future and provide for them like they did with me.,"Familial, Filial Piety"
one of my motivations for doing well is probably my parents and wanting to make them proud.,"Familial, Filial Piety"
"for the rpt, i think it might be fun to do your job depending on your passion as well, but also there are a few wellpaying jobs and i want to be able to provide for my family, i found this out from one of my professors i had for rpt. the researching in biology is awesome, for me i thought the environment conservation one is interesting.","Familial, Filial Piety"
this somtimes tends to bring me down being a zoology major had always been a dream of mine and i just want to be able to accomplish that goal and make not only myself but my family proud of everything they have sacrificed for me since i wasn't able to get fafsa to help me achieve my goal and pay for half of my schooling.,"Familial, Filial Piety"
"being here in college and in physics is extremely important to me because without being here i wouldnt be able to purse and execute my goals or make my family proud, being here makes me who i am.","Familial, Filial Piety, First Gen"
this is why i want to be able to get a good stable job to be able to support my family since they're getting old.,"Familial, Filial Piety"
my parents have sacrificed so much to get me to where i am today.,"Familial, Filial Piety"
my mom has been the biggest influence in helping me make my decisions.,Familial
why am i here?my family has been my main influence.,"Familial, Filial Piety"
i am here however not solely by my own merit but my family's as well.,"Familial, Filial Piety"
i want to be able to pay my family back for all they have done for me so far.,"Familial, Filial Piety"
"also by pushing myself through all this, when i have a family i could be a great example to my children.","Familial, Filial Piety"
i am also here for my parents who never got to finish college themselves.,"Familial, Filial Piety"
i wouldnt be here without my parents who sacrificed a lot for me to be here.,"Familial, Filial Piety, First Gen"
i am here because i want to be the first one of my family to graduate from college and make them proud.,"Familial, Filial Piety"
"i want to be able to help and support my family, do the same for them what they have always done for me.","Familial, Filial Piety"
with my career diploma i can improve my health the health of my family.,Filial Piety
a future where i don't have to struggle at the end of the month to pay bills or provide for my family.,Filial Piety
i want to contribute my knowledge that i've gain since i've been at sf state to those around me and become a role model for my younger cousins back where i'm from.i am also here because i want to gain new perspective from my peers because,Filial Piety
i am here for my parents and my family.,Filial Piety
i am here for my family members who could not make it this far.,Filial Piety
i here to show those family members that they can be here too.,Filial Piety
"my family is very bug on education, so everyone generally aspires to go to college.",Filial Piety
the second reason why i am here at sfsu is because of my parents.,Filial Piety
"but why i ended up here at sfsu is because my parents didn't want me moving up to socal, and my only choices were school's up here.",Filial Piety
"i am intrigued by this career because i grew up with family who died due to heart conditions, therefore i want to be able to understand and form conclusions on my own that way i can comprehend the cause of their deaths.",Filial Piety
i am here because in my family it is expected of my brothers and i to go to college after we graduate from high school.,Filial Piety
"my mom has a masters degree and my dad has a bachelors degree, so it was never a question of if we go to college.",Filial Piety
i am here because well also to provide for my family one day to be able to do the things they weren't able to do when they were younger.,Filial Piety
i made a choice to go to college because i see how difficult my parents and grandparents work without a college education.,Filial Piety
that everything i do with my life will not only help my family but everyone in my community.,"Community, Filial Piety, Social, Spiritual"
in todays society most individuals want to support themselves and their family as well as live as comfortably as they can.,Filial Piety
"this is why i am motivated to keep going to school and work hard because im the only whom has this opportunity thread a path of a better education, thus is one of my goals to inspire future family generations and help them out and continue the cycle and break it.","Filial Piety, First Gen"
i feel like my purpose here is to break this cycle so my future generation family and legacy will live prosperously.,"Filial Piety, First Gen"
i want to bring more wealth and knowledge into my family household and be a role model for my younger siblings.,"Filial Piety, First Gen"
i am the first person in my family to go to college and i will be the first one to graduate as well.,"Filial Piety, First Gen"
i want to have a career that i enjoy and can provide me with wealth to be able to support my family.,"Filial Piety, First Gen"
i'm just going through the requirements to get a piece of paper so i wont have my parents breathing down my back.,Filial Piety
"towards the end of high school i found out that through hard work in my studies, i would be able to reach my goals and even provide the next generation of my family the opportunity to enhance their living standards as well.",Filial Piety
so when thinking of why i am truly here i guess it is to help give myself opportunities for my future and the future of a family i will have someday.,"Filial Piety, Social"
i have a expectation to do better than my sister since my parents consider her not the best per say.,Filial Piety
"after a year of attending sfsu, i remain here because of the need to provide my parents with the feeling of accomplishment of having me graduated from a 4 year university.",Filial Piety
"another reason is to why i'm here is because im the first of my family to go to college, hence i'm trying to make them proud of what i'm trying to accomplish.","Filial Piety, First Gen"
"my motivation includes money, family and specifically my mother.",Filial Piety
"for money, i just think to myself im not gonna miss any class because i am paying damn near 3500 dollars for this.' for my family, i always think ' i am going to make enough money to support them.' lastly for my mother, i think 'i am going to make her proud.' considering all of these reasons.",Filial Piety
"the reason i am here is because i want to make my mom proud, to support my family and because i am not paying 3500 to miss any classes.",Filial Piety
"coming from an immigrant family, being apart from my parents for many years, without having the support and motivation to keep my dreams going was nothing short of easy.",Filial Piety
i want to be able to help my family out with paying bills and stuff.,Filial Piety
i chose sfsu because i wanted to be close to my family and not have to commune all the way across the city.,Filial Piety
a future in which i can be financially stable and support my family.,Filial Piety
being able to support my family another advantage of being financially stable.,Filial Piety
neither of my parents ever got to 7th grade so they have always pushed my siblings and i when it came to school.,Filial Piety
i am not only doing this for myself but also for my parents.,Filial Piety
"im here for myself, my goals, my grade, my family and primarily for a better understanding.",Filial Piety
i am also here so that my family sacrifices to put me through school aren't in vain.,Filial Piety
despite what my grades may say.im here because my family wanted me to have a better life than they did back in china they gave up what amazing or bad opportunities they had all for my and my brothers futures.,Filial Piety
im here because my parents didnt bring me here for for me not to take advantages of all the opportunities that i have here.,Filial Piety
i am a very family orientated person so i just want to make everyone happy and proud of me .,Filial Piety
im here because of all the sacrifices that both my parents have made for me and my little sisters.,Filial Piety
im here to disapprove stereotypes im here for a better future for myself im here for my family and everything they have given up for me to be here.,Filial Piety
i am here because my parents want me to finish college.,Filial Piety
i believe that i am here to help others since i have always grown up taking care of my grandparents and siblings.,"Filial Piety, Spiritual"
"for example, i knew the roles i would have to take on when my little sister came into the world; i needed and wanted to be a good role model for her so she can come to me with whatever problems she is going through.",Filial Piety
"yes, i am here, getting a degree because that's what my family and society expects of me and i know it's something i have to do, but there is so much more life than a career and academics.",Filial Piety
"in terms of why i'm at college, it's because it's difficult to start a decent career without at least one degree and i want to be able to provide for myself and my future family as adequately as i'm able.",Filial Piety
"i'm passionate about the field and i want to use the opportunity to help those that are less fortunate and at the same time, help support my family.","Filial Piety, Spiritual"
if i had to guess why i'm here it would be because my mom needed me to be here.,Filial Piety
"they want a gift or a blessing or just help and i think for my family and specifically, my mom that is me.",Filial Piety
"and now, as my mom gets older i look after my sister who really needs me maybe i'm just here to look out for her the whole time.",Filial Piety
another benefit of completing this goal is making my family proud and inviting them to do anything they want because i will have enough money.,Filial Piety
"i want to be able to make my parents, family, and friends happy because of what i can do and show them that i can do it.",Filial Piety
"i want to also be able to set up my family for success, i continue to put all this pressure on myself because i know i can achieve the goals i have for myself.",Filial Piety
"i want to make my family, friends and community proud cause if this year has taught me anything is that a smile and positivity goes a long way.","Filial Piety, Spiritual"
i love that i can be independent and away from home that teaches me life lessons and not to rely on my parents for everything so it gives me a sense of responsibility and responsibility.,Filial Piety
my goal in life is to ensure i live a life my mom would be proud of.,Filial Piety
i am here to help make a better life for my parents.,"Filial Piety, First Gen"
"overall, i want to make an impact in my community and be seen as a role model and i am here for a better future for my family and i.","Community, Filial Piety, First Gen"
i am here because of my family.,"Filial Piety, First Gen"
"i am the first to go to a university within the united states, i want to make them proud and support my family here, and peru.","Filial Piety, First Gen"
i want to take advantage of this education and hopefully receive income to where i can support my family and doing it with something i love to do.,"Filial Piety, First Gen"
deep down i am doing this also for my mother and my family to have a better education that my family was unable to get.,Filial Piety
i also want to be a role model for my 4 siblings and show them that college is an option and it can lead to many opportunities.,Filial Piety
"before i was listening to my parents who told me that a science degree would not give me the amount of job opportunities later on in life, but now i have learned that if your whole heart is not in something, then it is not worth doing.",Filial Piety
but looking at how i got here is something truly amazing as all the accidents and coincidences have led me to this moment.,Filial Piety
"why are you here?the reason why i am at sfsu is because i wanted to be the first in my family to go to college because my mom really wanted to see one of her children going to college and i was the last out of her 3 kids that has the chance to go because my older brothers didnt want to go to college, and i wanted to make her proud.","Filial Piety, First Gen"
i am here to do what she didn't and prove to my family and friends i can go through a higher education.,Filial Piety
i am the first out of my siblings to attend a university so i am really trying to make them and my parents proud and also learn more about myself and other perspectives while in university.,"Filial Piety, First Gen"
"i am here in order to build a better future for myself, and as well as for my family.",Filial Piety
i am here to make my mother proud and also to be a great example to my siblings and my family in general.,Filial Piety
i am here because i care about my education and supporting my family back home.,Filial Piety
a majority of my immediate family have struggled with mental illness and ever since it has played a huge role in my life.,Filial Piety
"as a latino with traditional latin beliefs, my mother being mentally sick was a major scare for the family.",Filial Piety
"the reason i go to school is to one day help support my parents, and so that i may have a decent job where i will not have to worry about stability.",Filial Piety
"since i am firstgeneration college in my family, i feel i hold a significant responsibility to do something with this opportunity presented to me.","Filial Piety, First Gen"
"i have seen struggle, within in my family and within my community, and i hope to help fix that struggle and help those who look like me.","Community, Filial Piety"
i am also here to advance my education and make my family proud.,"Filial Piety, First Gen"
i'll be the first in my family to graduate from college and to attend college in general but i want to make them proud.,"Filial Piety, First Gen"
i am here for my family and to help them succeed.,Filial Piety
"i am here to work towards my goals and for myself, for my future self, for my family and for my future family.",Filial Piety
i knew this step was going to be an important step in my life because i was the first in my family to go to college and especially away,First Gen
"i'm the first one in my family to go to college and even though it's taken me longer than i had hoped, i'm almost there.",First Gen
i am here to finish college and be the first person in my family to have a degree.,First Gen
lastly i am here because of my friends and family.,First Gen
i wanted to help figure things out because i felt that it was important to ensure that no one comes across these illnesses that have killed many of my family members.,First Gen
overall i am also here because i am the only one in my family to have ever gone to college.,First Gen
"since no one in my family ever lived the college experience, i had to rely on teachers and mentors for help.",First Gen
meet people who have (similar) aspirationsgoals network be helpful to experience explore improve,Social
to learn more about the natural world and build relationships with many diverse people who are as passionate as i am,Social
i am excited to be here in si because i get to give my students and peers what my si facilitators have given to me: a safe place.,"Community, Social"
i am here because i care about my community and to help empower those around me.,"Community, Social, Spiritual"
i am here in this class specifically because it's been almost six years since i've been in a physics class and i know i am going to need all the help i can get.,Social
its also comforting that people are in the same boat as me in needing additional help.,Social
"to be completely honest, i prefer just sitting down in groups and try to work on the problems together rather than moving around from table to table.",Social
this whole time i wanna meet new people too because i dont wanna be alone in getting help.,Social
also we are all helpful too like i feel comfortable the person next to me that im dumb and i dont get whats going on at all and be okay to someone that.,Social
